Województwo i rok;Produkt_Krajowy_Brutto_na_mieszkañca_(z³);Stopa_bezrobocia_rejestrowanego_(%);Przeciêtne_miesiêczne_wynagrodzenie_brutto_(czwarty_kwarta³)_(z³);Liczba_ludnoœci_w_wieku_produkcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_przedprodukcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_poprodukcyjnym_na_1000_ludnoœci;Gêstoœæ_zaludnienia_(osoba/km^2);Przyrost_naturalny_na_1000_ludnoœci;Liczba_urodzeñ_na_1000_ludnoœci;Przeciêtne_trwanie_¿ycia_(lata);Liczba_ma³¿eñstw_na_1000_ludnoœci;Zezwolenia_na_pracê_dla_cudzoziemców_na_1000_ludnoœci;Liczba_studentów_na_10000_ludnoœci;Mieszkania_oddane_do_u¿ytkowania_na_1000_ludnoœci;Saldo_migracji_wewnêtrznych
Lubuskie_2023;72160;4,3;7128,82;582,38;179,84;237,78;69,7;-4,34;6,65;78;3,7;10,74;119;5,1;-753
Lubuskie_2024;77733;4,5;8078,98;580,34;176,95;242,71;69,3;-4,95;6,02;78;3,5;6,76;127;4,4;-1034
£ódzkie_2010;34747;12,2;3349,93;637,52;174,79;187,7;139,5;-2,24;10,02;75;5,7;0,38;452;2,7;-1757
£ódzkie_2011;37620;12,9;3472,21;633,34;172,68;193,98;139,1;-2,7;9,44;75;5;0,32;427;2,4;-1844
£ódzkie_2012;39402;14;3628,03;629,06;171,06;199,88;138,6;-2,97;9,43;75;5;0,4;403;3,2;-1643
£ódzkie_2013;40142;14,1;3748,75;624,24;169,63;206,13;137,9;-3,51;8,9;75;4,3;0,31;367;2,4;-2104
£ódzkie_2014;41839;11,8;3876,61;619,34;168,55;212,11;137,4;-2,8;9,05;76;4,5;0,36;349;2,6;-1701
£ódzkie_2015;43772;10,3;4017,87;613,76;167,89;218,35;136,9;-3,61;8,85;76;4,6;0,52;330;2,9;-1727
£ódzkie_2016;45162;8,5;4170,71;607,14;168,01;224,84;136,4;-2,98;9,16;76;4,7;1,44;319;2,8;-1695
£ódzkie_2017;48380;6,7;4440,14;600,21;168,77;231,01;135,9;-2,98;9,59;76;4,7;7,81;313;3;-1961
£ódzkie_2018;51166;6,1;4809,28;593,7;169,42;236,87;135,4;-3,47;9,32;76;4,7;13,15;287;3,3;-2163
£ódzkie_2019;56128;5,4;5188,31;587,52;169,92;242,56;134,7;-3,64;8,8;77;4,5;17,11;283;4;-2824
£ódzkie_2020;58840;6,2;5526,13;580,09;172,1;247,81;132,6;-6,15;8,61;75;3,6;17,15;291;4,6;-1812
£ódzkie_2021;65981;6,1;6096,19;576,19;173,01;250,79;131,5;-7,67;8,14;75;4,3;14,57;297;5;-2282
£ódzkie_2022;76228;5,5;6689,23;572,9;172,71;254,39;130,5;-6,37;7,61;76;3,9;10,79;291;5,6;-1649
£ódzkie_2023;85708;5,4;7547,34;569,92;171,46;258,63;129,7;-5,9;6,91;77;3,8;15,04;296;5;-2099
£ódzkie_2024;92091;5,4;8524,78;568,12;169,23;262,65;128,8;-6,45;6,31;78;3,5;18,22;293;5;-1809
Ma³opolskie_2010;32909;10,4;3400,12;636,14;198,84;165,02;219,8;2,23;11,12;78;6,1;0,75;635;3,7;3673
Ma³opolskie_2011;36119;10,5;3533,29;635,29;195,98;168,72;220,4;1,74;10,63;78;5,5;0,62;622;3,8;3783
Ma³opolskie_2012;37334;11,4;3632,63;633,53;193,73;172,74;220,9;1,35;10,48;78;5,4;0,59;605;4,6;3354
Ma³opolskie_2013;38167;11,5;3750,41;630,97;191,85;177,17;221,3;1,2;10,22;78;4,9;0,76;564;4,6;3775
Ma³opolskie_2014;39834;9,7;3915,68;628,17;190,25;181,58;221,9;1,43;10,23;79;5,2;0,79;545;4,6;3572
Ma³opolskie_2015;42160;8,3;4160,5;624,46;189,33;186,2;222,1;0,99;10,3;79;5,2;1,87;524;4,3;3770
